celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,n_judges_present,total_judge_score,last_active_week,active,judge_rank,judge_percent
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,4,3,28.0,8,1,1.0,0.17721518987341772
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,5,3,27.0,8,1,2.0,0.17880794701986755
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,6,3,30.0,8,1,1.0,0.22556390977443608
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,7,3,27.5,8,1,1.0,0.2696078431372549
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8,3,28.9998,8,1,1.0,0.34387291318097685
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,1,3,13.0,1,1,9.0,0.06666666666666667
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,1,3,17.0,3,1,8.0,0.08018867924528301
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,2,3,21.0,3,1,7.0,0.09130434782608696
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,3,3,22.0,3,1,4.0,0.10628019323671498
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,1,3,22.0,4,1,3.0,0.10377358490566038
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,2,3,24.0,4,1,3.0,0.10434782608695652
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,3,3,27.0,4,1,1.0,0.13043478260869565
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,4,3,24.0,4,1,4.0,0.12121212121212122
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,1,3,19.0,8,1,6.0,0.08962264150943396
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,2,3,26.0,8,1,2.0,0.11304347826086956
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,3,3,27.0,8,1,1.0,0.13043478260869565
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,4,3,24.0,8,1,4.0,0.12121212121212122
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,5,3,27.0,8,1,1.0,0.14917127071823205
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6,3,23.0,8,1,4.0,0.19491525423728814
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,7,3,27.0,8,1,4.0,0.2
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,3,26.5,8,1,4.0,0.24311926605504589
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,1,3,21.0,9,1,5.0,0.09905660377358491
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,2,3,29.0,9,1,1.0,0.12608695652173912
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,3,3,22.0,9,1,4.0,0.10628019323671498
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,4,3,27.0,9,1,3.0,0.13636363636363635
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,5,3,25.0,9,1,5.0,0.13812154696132597
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,6,3,24.0,9,1,3.0,0.2033898305084746
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7,3,28.5,9,1,1.0,0.2111111111111111
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,8,3,27.0,9,1,2.0,0.24770642201834864
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,9,3,29.5,9,1,1.0,0.3333333333333333
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,1,3,26.0,10,1,1.0,0.12264150943396226
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,2,3,21.0,10,1,7.0,0.09130434782608696
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,3,3,22.0,10,1,4.0,0.10628019323671498
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,4,3,29.0,10,1,1.0,0.14646464646464646
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,5,3,27.0,10,1,1.0,0.14917127071823205
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,6,3,28.0,10,1,1.0,0.23728813559322035
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,7,3,28.0,10,1,3.0,0.2074074074074074
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,8,3,28.5,10,1,1.0,0.26146788990825687
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9,3,29.5,10,1,1.0,0.3333333333333333
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,10,3,29.666600000000003,10,1,1.0,0.5
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,1,3,24.0,10,1,2.0,0.11320754716981132
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,2,3,24.0,10,1,3.0,0.10434782608695652
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,3,3,19.0,10,1,9.0,0.09178743961352658
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,4,3,24.0,10,1,4.0,0.12121212121212122
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,5,3,27.0,10,1,1.0,0.14917127071823205
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,6,3,25.0,10,1,2.0,0.211864406779661
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,7,3,28.5,10,1,1.0,0.2111111111111111
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8,3,27.0,10,1,2.0,0.24770642201834864
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,9,3,29.5,10,1,1.0,0.3333333333333333
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,10,3,29.666600000000003,10,1,1.0,0.5
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,1,3,18.0,2,1,7.0,0.08490566037735849
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,2,3,22.0,2,1,6.0,0.09565217391304348
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,1,3,22.0,5,1,3.0,0.10377358490566038
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,2,3,23.0,5,1,5.0,0.1
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,3,3,22.0,5,1,4.0,0.10628019323671498
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,4,3,28.0,5,1,2.0,0.1414141414141414
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,5,3,27.0,5,1,1.0,0.14917127071823205
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,1,3,15.0,5,1,10.0,0.07075471698113207
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,2,3,21.0,5,1,7.0,0.09130434782608696
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,3,3,25.0,5,1,3.0,0.12077294685990338
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,4,3,20.0,5,1,8.0,0.10101010101010101
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5,3,24.0,5,1,6.0,0.13259668508287292
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,1,3,16.0,7,1,9.0,0.07547169811320754
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,2,3,19.0,7,1,10.0,0.08260869565217391
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,3,3,21.0,7,1,8.0,0.10144927536231885
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,4,3,22.0,7,1,7.0,0.1111111111111111
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,5,3,24.0,7,1,6.0,0.13259668508287292
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,6,3,18.0,7,1,5.0,0.15254237288135594
Jerry Springer,Kym Johnson,TV Personality,Unknown,England,62,3,Eliminated Week 7,5,7,3,23.0,7,1,5.0,0.17037037037037037
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,1,3,12.0,1,1,11.0,0.05660377358490566
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,1,3,17.0,7,1,8.0,0.0825242718446602
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,2,3,21.0,7,1,6.0,0.08571428571428572
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,3,3,20.0,7,1,9.0,0.09174311926605505
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,4,3,16.0,7,1,7.0,0.08421052631578947
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,5,3,18.0,7,1,6.0,0.10227272727272728
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6,3,19.0,7,1,7.0,0.11176470588235295
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,7,3,22.5,7,1,5.0,0.14563106796116504
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,1,3,21.0,9,1,3.0,0.10194174757281553
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,2,3,22.0,9,1,5.0,0.08979591836734693
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,3,3,24.0,9,1,1.0,0.11009174311926606
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,4,3,24.0,9,1,3.0,0.12631578947368421
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,5,3,24.0,9,1,4.0,0.13636363636363635
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,6,3,24.0,9,1,4.0,0.1411764705882353
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7,3,27.0,9,1,3.0,0.17475728155339806
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,8,3,23.5,9,1,4.0,0.18725099601593626
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,9,3,29.0,9,1,4.0,0.24472573839662448
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,1,3,16.0,5,1,9.0,0.07766990291262135
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,2,3,18.0,5,1,11.0,0.07346938775510205
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,3,3,16.0,5,1,10.0,0.07339449541284404
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,4,3,15.0,5,1,9.0,0.07894736842105263
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,5,3,13.0,5,1,8.0,0.07386363636363637
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,1,3,23.0,10,1,2.0,0.11165048543689321
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,2,3,27.0,10,1,1.0,0.11020408163265306
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,3,3,21.0,10,1,6.0,0.0963302752293578
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,4,3,21.0,10,1,5.0,0.11052631578947368
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,5,3,28.0,10,1,2.0,0.1590909090909091
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,6,3,28.0,10,1,1.0,0.16470588235294117
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7,3,29.5,10,1,1.0,0.19093851132686085
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,8,3,26.5,10,1,3.0,0.21115537848605578
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,9,3,30.0,10,1,1.0,0.25316455696202533
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,10,3,28.333200000000005,10,1,3.0,0.3281854310465651
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,1,3,21.0,10,1,3.0,0.10194174757281553
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,2,3,26.0,10,1,2.0,0.10612244897959183
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,3,3,23.0,10,1,5.0,0.10550458715596331
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,4,3,26.0,10,1,2.0,0.1368421052631579
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,5,3,30.0,10,1,1.0,0.17045454545454544
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,6,3,28.0,10,1,1.0,0.16470588235294117
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7,3,27.0,10,1,3.0,0.17475728155339806
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,8,3,29.0,10,1,1.0,0.23107569721115537
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,9,3,29.5,10,1,3.0,0.2489451476793249
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,10,3,29.3332,10,1,1.0,0.33976850076853665
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,1,3,19.0,3,1,5.0,0.09223300970873786
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,2,3,20.0,3,1,10.0,0.08163265306122448
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,3,3,21.0,3,1,6.0,0.0963302752293578
Paulina Porizkova,Alec Mazo,Model,Unknown,Czechoslovakia,41,4,Eliminated Week 2,11,1,3,19.0,2,1,5.0,0.09223300970873786
Paulina Porizkova,Alec Mazo,Model,Unknown,Czechoslovakia,41,4,Eliminated Week 2,11,2,3,21.0,2,1,6.0,0.08571428571428572
Heather Mills,Jonathan Roberts,Model,Unknown,England,39,4,Eliminated Week 6,7,1,3,18.0,6,1,7.0,0.08737864077669903
Heather Mills,Jonathan Roberts,Model,Unknown,England,39,4,Eliminated Week 6,7,2,3,24.0,6,1,3.0,0.09795918367346938
Heather Mills,Jonathan Roberts,Model,Unknown,England,39,4,Eliminated Week 6,7,3,3,24.0,6,1,1.0,0.11009174311926606
